# PixelFlat - one flat room. Movement, facing, cards and health.
#
# Everything here is at height 0 on purpose: nothing to climb, so a walk is
# only ever the four screen diagonals and the facing is easy to read.
# Block: x, y, height(feet), type, room

Block: 0, 0, 0, PixelGrassSurface, Yard
Block: 0, 3, 0, PixelGrassSurface, Yard
Block: 1, 3, 0, PixelGrassSurface, Yard
Block: 2, 3, 0, PixelGrassSurface, Yard
Block: 3, 3, 0, PixelGrassSurface, Yard
Block: 4, 3, 0, PixelGrassSurface, Yard
Block: 5, 3, 0, PixelGrassSurface, Yard
Block: 6, 3, 0, PixelGrassSurface, Yard
Block: 7, 3, 0, PixelGrassSurface, Yard
Block: 8, 3, 0, PixelGrassSurface, Yard
Block: 9, 3, 0, PixelGrassSurface, Yard
Block: 10, 3, 0, PixelGrassSurface, Yard
Block: 11, 3, 0, PixelGrassSurface, Yard
Block: 0, 4, 0, PixelGrassSurface, Yard
Block: 1, 4, 0, PixelGrassSurface, Yard
Block: 2, 4, 0, PixelGrassSurface, Yard
Block: 3, 4, 0, PixelGrassSurface, Yard
Block: 4, 4, 0, PixelGrassSurface, Yard
Block: 5, 4, 0, PixelGrassSurface, Yard
Block: 6, 4, 0, PixelGrassSurface, Yard
Block: 7, 4, 0, PixelGrassSurface, Yard
Block: 8, 4, 0, PixelGrassSurface, Yard
Block: 9, 4, 0, PixelGrassSurface, Yard
Block: 10, 4, 0, PixelGrassSurface, Yard
Block: 11, 4, 0, PixelGrassSurface, Yard
Block: 0, 5, 0, PixelGrassSurface, Yard
Block: 1, 5, 0, PixelGrassSurface, Yard
Block: 2, 5, 0, PixelGrassSurface, Yard
Block: 3, 5, 0, PixelGrassSurface, Yard
Block: 4, 5, 0, PixelGrassSurface, Yard
Block: 5, 5, 0, PixelGrassSurface, Yard
Block: 6, 5, 0, PixelGrassSurface, Yard
Block: 7, 5, 0, PixelGrassSurface, Yard
Block: 8, 5, 0, PixelGrassSurface, Yard
Block: 9, 5, 0, PixelGrassSurface, Yard
Block: 10, 5, 0, PixelGrassSurface, Yard
Block: 11, 5, 0, PixelGrassSurface, Yard
Block: 0, 6, 0, PixelGrassSurface, Yard
Block: 1, 6, 0, PixelGrassSurface, Yard
Block: 2, 6, 0, PixelGrassSurface, Yard
Block: 3, 6, 0, PixelGrassSurface, Yard
Block: 4, 6, 0, PixelGrassSurface, Yard
Block: 5, 6, 0, PixelGrassSurface, Yard
Block: 6, 6, 0, PixelGrassSurface, Yard
Block: 7, 6, 0, PixelGrassSurface, Yard
Block: 8, 6, 0, PixelGrassSurface, Yard
Block: 9, 6, 0, PixelGrassSurface, Yard
Block: 10, 6, 0, PixelGrassSurface, Yard
Block: 11, 6, 0, PixelGrassSurface, Yard
Block: 0, 7, 0, PixelGrassSurface, Yard
Block: 1, 7, 0, PixelGrassSurface, Yard
Block: 2, 7, 0, PixelGrassSurface, Yard
Block: 3, 7, 0, PixelGrassSurface, Yard
Block: 4, 7, 0, PixelGrassSurface, Yard
Block: 5, 7, 0, PixelGrassSurface, Yard
Block: 6, 7, 0, PixelGrassSurface, Yard
Block: 7, 7, 0, PixelGrassSurface, Yard
Block: 8, 7, 0, PixelGrassSurface, Yard
Block: 9, 7, 0, PixelGrassSurface, Yard
Block: 10, 7, 0, PixelGrassSurface, Yard
Block: 11, 7, 0, PixelGrassSurface, Yard
Block: 0, 8, 0, PixelGrassSurface, Yard
Block: 1, 8, 0, PixelGrassSurface, Yard
Block: 2, 8, 0, PixelGrassSurface, Yard
Block: 3, 8, 0, PixelGrassSurface, Yard
Block: 4, 8, 0, PixelGrassSurface, Yard
Block: 5, 8, 0, PixelGrassSurface, Yard
Block: 6, 8, 0, PixelGrassSurface, Yard
Block: 7, 8, 0, PixelGrassSurface, Yard
Block: 8, 8, 0, PixelGrassSurface, Yard
Block: 9, 8, 0, PixelGrassSurface, Yard
Block: 10, 8, 0, PixelGrassSurface, Yard
Block: 11, 8, 0, PixelGrassSurface, Yard
Block: 0, 9, 0, PixelGrassSurface, Yard
Block: 1, 9, 0, PixelGrassSurface, Yard
Block: 2, 9, 0, PixelGrassSurface, Yard
Block: 3, 9, 0, PixelGrassSurface, Yard
Block: 4, 9, 0, PixelGrassSurface, Yard
Block: 5, 9, 0, PixelGrassSurface, Yard
Block: 6, 9, 0, PixelGrassSurface, Yard
Block: 7, 9, 0, PixelGrassSurface, Yard
Block: 8, 9, 0, PixelGrassSurface, Yard
Block: 9, 9, 0, PixelGrassSurface, Yard
Block: 10, 9, 0, PixelGrassSurface, Yard
Block: 11, 9, 0, PixelGrassSurface, Yard

PlayerStart: 1, 8
PlayerStart: 2, 8
PlayerStart: 1, 7
PlayerStart: 2, 7

Enemy: 9, 1, Goblin
Enemy: 10, 2, Goblin
Enemy: 9, 3, Imp
